Division,District,Latitude,Longitude,Latitude,Longitude,SL
Dhaka,Dhaka,24.029,90.508,23.541,90.011,1
Dhaka,Faridpur,23.683,90.077,23.251,89.516,2
Dhaka,Gazipur,24.31,90.673,23.873,90.16,3
Dhaka,Gopalganj,23.342,90.107,22.864,89.709,4
Dhaka,Jamalpur,25.401,90.195,24.617,89.716,5
Dhaka,Kishoreganj,24.601,91.218,24.044,90.623,6
Dhaka,Madaripur,23.426,90.337,22.995,89.965,7
Dhaka,Manikganj,23.999,90.245,23.714,89.724,8
Dhaka,Munshiganj,23.669,90.688,23.431,90.184,9
Dhaka,Mymensingh,25.183,90.795,24.276,90.142,10
Dhaka,Narayanganj,23.875,90.719,23.555,90.449,11
Dhaka,Narsingdi,24.237,90.957,23.811,90.579,12
Dhaka,Netrakona,25.159,91.223,24.618,90.528,13
Dhaka,Rajbari,23.88,89.784,23.583,89.316,14
Dhaka,Shariatpur,23.406,90.615,23.028,90.246,15
Dhaka,Sherpur,25.261,90.223,24.908,89.91,16
Dhaka,Tangail,24.758,90.282,24,89.803,17
Chittagong,Bandarban,22.342,92.444,21.208,92.063,18
Chittagong,Brahmanbaria,24.235,91.305,23.671,90.745,19
Chittagong,Chandpur,23.493,91.022,23.032,90.592,20
Chittagong,Chittagong,22.98,92.176,21.895,91.339,21
Chittagong,Comilla,23.775,91.345,23.064,90.66,22
Chittagong,Cox's Bazar,21.903,92.336,20.634,91.851,23
Chittagong,Feni,23.236,91.552,22.806,91.261,24
Chittagong,Khagrachari,23.376,92.114,22.785,91.727,25
Chittagong,Lakshmipur,23.16,91.002,22.508,90.679,26
Chittagong,Noakhali,23.117,91.37,22.041,90.913,27
Chittagong,Rangamati,23.382,92.392,22.371,91.973,28
Khulna,Bagerhat,22.95,89.912,22.261,89.578,29
Khulna,Chuadanga,23.827,89.007,23.41,88.677,30
Khulna,Jessore,23.346,89.498,22.822,88.875,31
Khulna,Jhenaidah,23.745,89.365,23.25,88.753,32
Khulna,Khulna,22.992,89.755,22.354,89.251,33
Khulna,Kushtia,24.107,89.314,23.723,88.761,34
Khulna,Magura,23.635,89.578,23.289,89.28,35
Khulna,Meherpur,23.944,88.863,23.621,88.583,36
Khulna,Narail,23.312,89.767,23.001,89.39,37
Khulna,Satkhira,22.925,89.296,22.23,88.932,38
Barisal,Barguna,22.476,90.342,21.9,89.901,39
Barisal,Barisal,23.075,90.602,22.475,90.052,40
Barisal,Bhola,22.781,90.981,22.013,90.567,41
Barisal,Jhalokati,22.784,90.337,22.359,90.031,42
Barisal,Patuakhali,22.539,90.59,21.819,90.119,43
Barisal,Pirojpur,22.849,90.158,22.216,89.897,44
Rajshahi,Bogra,25.096,89.604,24.56,88.987,45
Rajshahi,Chapai Nawabganj,24.938,88.481,24.524,88.097,46
Rajshahi,Joypurhat,25.24,89.231,24.877,88.972,47
Rajshahi,Naogaon,25.182,89.085,24.556,88.432,48
Rajshahi,Natore,24.645,89.315,24.14,88.869,49
Rajshahi,Pabna,24.328,89.648,23.829,89.025,50
Rajshahi,Rajshahi,24.702,88.959,24.183,88.307,51
Rajshahi,Sirajganj,24.689,89.804,24.097,89.29,52
Rangpur,Dinajpur,26.007,89.282,25.239,88.404,53
Rangpur,Gaibandha,25.61,89.728,25.057,89.215,54
Rangpur,Kurigram,26.162,89.853,25.447,89.457,55
Rangpur,Lalmonirhat,26.399,89.515,25.805,88.931,56
Rangpur,Nilphamari,26.248,89.097,25.768,88.785,57
Rangpur,Panchagarh,26.568,88.758,26.044,88.338,58
Rangpur,Rangpur,25.913,89.491,25.334,88.958,59
Rangpur,Thakurgaon,26.172,88.597,25.77,88.139,60
Sylhet,Habiganj,24.688,91.63,24.001,91.201,61
Sylhet,Maulvibazar,24.819,92.249,24.234,91.629,62
Sylhet,Sunamganj,25.197,91.717,24.626,90.963,63
Sylhet,Sylhet,25.177,92.481,24.649,91.665,64
