Site,Longitude,Latitude,Total Data Traffic(DL+UL): MB, DL PDCP Throughput (Mbps),Area Code,Area LTE Traffic  %,Area  DL PDCP Throughput (Mbps),Category,Site Name,REGION,UNION,THANA,Area Name
SYSDR01,91.88148335,24.88432463,16242.1,12.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Jalalabad_Gas_Bhaban,SYLHET,WARD NO-23,SYLHET SADAR,SYLHET METRO
SYSDR02,91.88362331,24.90068557,5443.0,12.7,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Jherjheri_para,SYLHET,WARD NO-18,SYLHET SADAR,SYLHET METRO
SYSDR03,91.86920045,24.89393992,11203.8,12.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Zindabazar,SYLHET,WARD NO-15,SYLHET SADAR,SYLHET METRO
SYSDR04,91.89113,24.89258,10189.0,10.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Upashahar,SYLHET,WARD NO-22,SYLHET SADAR,SYLHET METRO
SYSDR05,91.87015109,24.90263429,12013.3,5.1,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Ambarkhana,SYLHET,WARD NO-17,SYLHET SADAR,SYLHET METRO
SYSDR07,91.85458914,24.89493948,12618.6,14.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Laladighirpar,SYLHET,WARD NO-11,SYLHET SADAR,SYLHET METRO
SYSDR08,91.83867668,24.90910265,11010.4,15.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Akhalia,SYLHET,TUKER BAZAR,SYLHET SADAR,SYLHET METRO
SYSDR09,91.9481757,24.91569252,21992.1,17.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Khadimpur,SYLHET,KHADIM PARA,SYLHET SADAR,SYLHET METRO
SYSDR10,91.86434466,24.90641014,6016.7,12.9,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Fazil_chist,SYLHET,WARD NO-07,SYLHET SADAR,SYLHET METRO
SYSDR11,91.87501233,24.8763294,13460.9,13.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Kadam_toli,SYLHET,WARD NO-26,SYLHET SADAR,SYLHET METRO
SYSDR12,91.87370082,24.89110222,12116.4,10.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Mohajon_potty,SYLHET,WARD NO-14,SYLHET SADAR,SYLHET METRO
SYSDR13,91.85515288,24.90038004,7401.2,12.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Osmani_Medical,SYLHET,WARD NO-11,SYLHET SADAR,SYLHET METRO
SYSDR14,91.85717841,24.90836026,4797.8,15.2,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Subid_Bazar,SYLHET,WARD NO-09,SYLHET SADAR,SYLHET METRO
SYSDR16,91.8922,24.899241,2496.3,12.8,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Alpana,SYLHET,WARD NO-21,SYLHET SADAR,SYLHET METRO
SYSDR17,91.86409127,24.88427488,10436.5,15.0,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Bartha_khola,SYLHET,WARD NO-26,SYLHET SADAR,SYLHET METRO
SYSDR18,91.87439343,24.91849645,6361.7,15.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Choukhi_dekhi,SYLHET,WARD NO-06,SYLHET SADAR,SYLHET METRO
SYSDR19,91.87445051,24.89577656,7742.6,13.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Dalas_Super,SYLHET,WARD NO-15,SYLHET SADAR,SYLHET METRO
SYSDR20,91.86550592,24.89632305,8491.2,11.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Daria_para,SYLHET,WARD NO-02,SYLHET SADAR,SYLHET METRO
SYSDR23,91.8652288,24.89088469,6996.1,13.5,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Hotel_Purbasha,SYLHET,WARD NO-13,SYLHET SADAR,SYLHET METRO
SYSDR24,91.87023005,24.89830032,14026.4,13.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Tatipara,SYLHET,WARD NO-16,SYLHET SADAR,SYLHET METRO
SYSDR25,91.88456931,24.89455199,3874.1,11.6,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Mira_Bazar,SYLHET,WARD NO-19,SYLHET SADAR,SYLHET METRO
SYSDR26,91.98028005,24.93463516,18190.6,5.4,SYSDR,3.73,12.32,High LTE traffic.Throughput>10 Mbps ,Sylhet_Cantonment,SYLHET,KHADIM PARA,SYLHET SADAR,SYLHET METRO
